DataSet,"#TrainingRelease",%training,%Defective training,%Defective testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,3,50.00,16.73,15.28,Naive Bayes,Undersampling,Best First,5.0,37.0,462.0,85.0,0.11904761904761904,0.05555555555555555,0.6957915831663327,-0.023793241009859228
BOOKKEEPER,3,50.00,16.73,15.28,Naive Bayes,Smote,No selection,0.0,0.0,499.0,90.0,0.0,0.0,0.6741705633489201,0.0
BOOKKEEPER,3,50.00,16.73,15.28,Naive Bayes,Smote,Best First,0.0,2.0,497.0,90.0,0.0,0.0,0.680561122244489,-0.0066879690867208165
BOOKKEEPER,3,50.00,16.73,15.28,IBk,No sampling,No selection,21.0,5.0,494.0,69.0,0.8076923076923077,0.23333333333333334,0.613193052772211,0.3151593237382945
BOOKKEEPER,3,50.00,16.73,15.28,IBk,No sampling,Best First,19.0,1.0,498.0,71.0,0.95,0.2111111111111111,0.6353818748608328,0.3069455793430296
BOOKKEEPER,3,50.00,16.73,15.28,IBk,Oversampling,No selection,27.0,12.0,487.0,63.0,0.6923076923076923,0.3,0.6656312625250501,0.3594205420455039
BOOKKEEPER,3,50.00,16.73,15.28,IBk,Oversampling,Best First,30.0,23.0,476.0,60.0,0.5660377358490566,0.3333333333333333,0.6847806724560231,0.34544164312397074
BOOKKEEPER,3,50.00,16.73,15.28,IBk,Undersampling,No selection,33.0,27.0,472.0,57.0,0.55,0.36666666666666664,0.6715096860387442,0.3620116054158608
BOOKKEEPER,3,50.00,16.73,15.28,IBk,Undersampling,Best First,48.0,91.0,408.0,42.0,0.34532374100719426,0.5333333333333333,0.6955911823647295,0.28694441157462613
BOOKKEEPER,3,50.00,16.73,15.28,IBk,Smote,No selection,23.0,7.0,492.0,67.0,0.7666666666666667,0.25555555555555554,0.6222556223558228,0.33232230392156886
BOOKKEEPER,3,50.00,16.73,15.28,IBk,Smote,Best First,19.0,2.0,497.0,71.0,0.9047619047619048,0.2111111111111111,0.6343798708528168,0.30198542184126387
BOOKKEEPER,4,66.67,16.19,11.36,Random Forest,No sampling,No selection,24.0,11.0,535.0,46.0,0.6857142857142857,0.34285714285714286,0.9424646781789638,0.412646370023419
BOOKKEEPER,4,66.67,16.19,11.36,Random Forest,No sampling,Best First,48.0,18.0,528.0,22.0,0.7272727272727273,0.6857142857142857,0.9499345892203035,0.6694214876033057
BOOKKEEPER,4,66.67,16.19,11.36,Random Forest,Oversampling,No selection,60.0,38.0,508.0,10.0,0.6122448979591837,0.8571428571428571,0.9258241758241759,0.6706175920149717
BOOKKEEPER,4,66.67,16.19,11.36,Random Forest,Oversampling,Best First,63.0,40.0,506.0,7.0,0.6116504854368932,0.9,0.9200026164311879,0.6858097842601032
BOOKKEEPER,4,66.67,16.19,11.36,Random Forest,Undersampling,No selection,59.0,59.0,487.0,11.0,0.5,0.8428571428571429,0.9178309785452643,0.5657078398195149
BOOKKEEPER,4,66.67,16.19,11.36,Random Forest,Undersampling,Best First,64.0,131.0,415.0,6.0,0.3282051282051282,0.9142857142857143,0.901229722658294,0.37919670442842435
BOOKKEEPER,4,66.67,16.19,11.36,Random Forest,Smote,No selection,37.0,16.0,530.0,33.0,0.6981132075471698,0.5285714285714286,0.9394557823129251,0.558377714051618
BOOKKEEPER,4,66.67,16.19,11.36,Random Forest,Smote,Best First,52.0,17.0,529.0,18.0,0.7536231884057971,0.7428571428571429,0.9453950811093669,0.7161813490600814
BOOKKEEPER,4,66.67,16.19,11.36,Naive Bayes,No sampling,No selection,8.0,4.0,542.0,62.0,0.6666666666666666,0.11428571428571428,0.8153453689167975,0.1674311926605505
BOOKKEEPER,4,66.67,16.19,11.36,Naive Bayes,No sampling,Best First,14.0,6.0,540.0,56.0,0.7,0.2,0.9044740973312402,0.27446808510638265
BOOKKEEPER,4,66.67,16.19,11.36,Naive Bayes,Oversampling,No selection,24.0,23.0,523.0,46.0,0.5106382978723404,0.34285714285714286,0.8955259026687599,0.3510047028644719
