Version,File Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,Age,Buggy
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,1,0,1,37,37,37,37,37,37,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,42,2,0,2,40,38,20,38,38,19,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,41,2,0,2,40,39,20,39,39,19,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,118,4,0,2,107,95,26,96,95,24,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,94,3,0,2,91,87,30,88,87,29,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,85,4,0,2,78,70,19,71,70,17,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,132,4,0,2,123,113,30,114,113,28,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,492,6,1,3,414,329,69,336,329,56,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,102,4,0,2,93,83,23,84,83,21,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,68,3,0,2,63,58,21,58,58,19,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,137,4,0,2,130,122,32,123,122,30,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,1,0,1,369,369,369,369,369,369,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,255,5,0,2,243,224,48,231,224,46,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,704,4,0,2,645,585,161,586,585,146,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,414,5,0,2,390,365,78,366,365,73,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,117,4,0,2,108,98,27,99,98,24,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,41,1,0,1,41,41,41,41,41,41,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,92,2,0,2,79,65,39,66,65,33,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,56,3,0,3,55,45,18,54,45,18,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,55,2,0,2,51,47,25,47,47,23,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,223,4,0,3,203,185,50,183,185,45,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,49,1,0,1,49,49,49,49,49,49,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,50,1,0,1,50,50,50,50,50,50,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,102,2,0,2,100,97,50,98,97,49,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,138,1,0,1,138,138,138,138,138,138,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,43,1,0,1,43,43,43,43,43,43,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,1,0,1,42,42,42,42,42,42,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,1,0,1,56,56,56,56,56,56,36,YES
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,51,53,2,0,2,52,51,26,51,51,25,36,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,41,41,1,0,1,41,41,41,41,41,41,36,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,104,118,2,0,2,111,104,55,104,104,52,36,NO
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,54,54,1,0,1,54,54,54,54,54,54,36,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,164,2,0,2,163,162,81,162,162,81,36,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367,18357,2,1,2,12362,6267,6181,6367,6095,3183,14,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,157,2,0,2,155,153,77,153,153,76,36,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,43,1,0,1,43,43,43,43,43,43,36,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,43,2,0,2,42,41,21,41,41,20,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,207,3,0,2,156,104,52,105,104,35,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,191,5,0,3,148,103,29,105,103,21,36,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,160,4,0,3,126,91,31,92,91,23,36,NO
