DataSet,"#TrainingRelease",%training,%Defective training,%Defective testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
ZOOKEEPER,3,15.79,11.80,12.28,Random Forest,No sampling,No selection,4.0,4.0,196.0,24.0,0.5,0.14285714285714285,0.8298214285714286,0.17731958762886577
ZOOKEEPER,3,15.79,11.80,12.28,Random Forest,No sampling,Best First,1.0,3.0,197.0,27.0,0.25,0.03571428571428571,0.803125,0.03280542986425389
ZOOKEEPER,3,15.79,11.80,12.28,Random Forest,Oversampling,No selection,8.0,5.0,195.0,20.0,0.6153846153846154,0.2857142857142857,0.7875892857142858,0.3387470997679815
ZOOKEEPER,3,15.79,11.80,12.28,Random Forest,Oversampling,Best First,3.0,10.0,190.0,25.0,0.23076923076923078,0.10714285714285714,0.8349107142857143,0.07424593967517397
ZOOKEEPER,3,15.79,11.80,12.28,Random Forest,Undersampling,No selection,10.0,7.0,193.0,18.0,0.5882352941176471,0.35714285714285715,0.8444642857142857,0.38762354963472284
ZOOKEEPER,3,15.79,11.80,12.28,Random Forest,Undersampling,Best First,14.0,30.0,170.0,14.0,0.3181818181818182,0.5,0.8070535714285715,0.28096330275229336
ZOOKEEPER,3,15.79,11.80,12.28,Random Forest,Smote,No selection,3.0,3.0,197.0,25.0,0.5,0.10714285714285714,0.8144642857142858,0.13915857605177942
ZOOKEEPER,3,15.79,11.80,12.28,Random Forest,Smote,Best First,3.0,4.0,196.0,25.0,0.42857142857142855,0.10714285714285714,0.8022321428571428,0.1286241433842913
ZOOKEEPER,3,15.79,11.80,12.28,Naive Bayes,No sampling,No selection,2.0,0.0,200.0,26.0,1.0,0.07142857142857142,0.8442857142857143,0.11890606420927441
ZOOKEEPER,3,15.79,11.80,12.28,Naive Bayes,No sampling,Best First,5.0,3.0,197.0,23.0,0.625,0.17857142857142858,0.8048214285714286,0.23608247422680406
ZOOKEEPER,3,15.79,11.80,12.28,Naive Bayes,Oversampling,No selection,4.0,1.0,199.0,24.0,0.8,0.14285714285714285,0.8451785714285714,0.21314191054665896
ZOOKEEPER,3,15.79,11.80,12.28,Naive Bayes,Oversampling,Best First,10.0,7.0,193.0,18.0,0.5882352941176471,0.35714285714285715,0.8060714285714285,0.38762354963472284
ZOOKEEPER,3,15.79,11.80,12.28,Naive Bayes,Undersampling,No selection,2.0,0.0,200.0,26.0,1.0,0.07142857142857142,0.82375,0.11890606420927441
ZOOKEEPER,3,15.79,11.80,12.28,Naive Bayes,Undersampling,Best First,10.0,7.0,193.0,18.0,0.5882352941176471,0.35714285714285715,0.8115178571428572,0.38762354963472284
ZOOKEEPER,3,15.79,11.80,12.28,Naive Bayes,Smote,No selection,3.0,0.0,200.0,25.0,1.0,0.10714285714285714,0.8401785714285714,0.17391304347826086
ZOOKEEPER,3,15.79,11.80,12.28,Naive Bayes,Smote,Best First,7.0,3.0,197.0,21.0,0.7,0.25,0.7808035714285714,0.3247778874629811
